Age,Year,Quarter,YQ,Deaths,Population,Death_rate
85-89,2018,4,2018 Q4,2124,76703,0.027691224593562182
85-89,2019,1,2019 Q1,2325,76915,0.030228173958265617
85-89,2019,2,2019 Q2,2116,77375,0.027347334410339257
85-89,2019,3,2019 Q3,2018,78054,0.025853896020703617
85-89,2019,4,2019 Q4,2154,78610,0.02740109400839588
85-89,2020,1,2020 Q1,2314,79335,0.029167454465242326
85-89,2020,2,2020 Q2,2126,80077,0.026549446158072854
85-89,2020,3,2020 Q3,2085,81027,0.025732163352956423
85-89,2020,4,2020 Q4,2445,81933,0.029841455823660795
85-89,2021,1,2021 Q1,2363,81938,0.02883887817618199
85-89,2021,2,2021 Q2,2211,82755,0.026717418887076308
85-89,2021,3,2021 Q3,2347,84079,0.027914223527872595
85-89,2021,4,2021 Q4,2689,84902,0.031671809851358035
85-89,2022,1,2022 Q1,2696,85184,0.031649135987978964
85-89,2022,2,2022 Q2,2351,85888,0.027372857675111772
85-89,2022,3,2022 Q3,2347,87506,0.026821017987338013
85-89,2022,4,2022 Q4,2600,88543,0.029364263691087945
90-94,2008,1,2008 Q1,1604,28117,0.0570473379094498
90-94,2008,2,2008 Q2,1461,28130,0.05193743334518308
90-94,2008,3,2008 Q3,1428,28286,0.05048433854203493
90-94,2008,4,2008 Q4,1569,28462,0.05512613308973368
90-94,2009,1,2009 Q1,1806,28413,0.06356245380635625
90-94,2009,2,2009 Q2,1387,27974,0.049581754486308714
90-94,2009,3,2009 Q3,1335,27904,0.04784260321100917
90-94,2009,4,2009 Q4,1450,27996,0.05179311330190027
90-94,2010,1,2010 Q1,1564,28409,0.055052976169523746
90-94,2010,2,2010 Q2,1412,28975,0.04873166522864538
90-94,2010,3,2010 Q3,1411,29589,0.047686640305518946
90-94,2010,4,2010 Q4,1538,30024,0.05122568611777245
90-94,2011,1,2011 Q1,1696,30166,0.05622223695551283
90-94,2011,2,2011 Q2,1425,30350,0.04695222405271829
90-94,2011,3,2011 Q3,1467,30764,0.04768560655311403
90-94,2011,4,2011 Q4,1575,31177,0.050518010071527085
90-94,2012,1,2012 Q1,1654,31371,0.052723853240253735
90-94,2012,2,2012 Q2,1446,31545,0.04583927722301474
90-94,2012,3,2012 Q3,1453,31865,0.04559861917464302
90-94,2012,4,2012 Q4,1589,32156,0.04941535016793133
90-94,2013,1,2013 Q1,1978,32069,0.061679503570426265
90-94,2013,2,2013 Q2,1585,31981,0.04956067665176198
90-94,2013,3,2013 Q3,1454,32287,0.04503360485644377
90-94,2013,4,2013 Q4,1448,32656,0.044341009309162176
90-94,2014,1,2014 Q1,1661,32794,0.05064950905653473
90-94,2014,2,2014 Q2,1462,33052,0.04423332929928597
90-94,2014,3,2014 Q3,1632,33569,0.04861628288003813
90-94,2014,4,2014 Q4,1649,33777,0.04882020309678183
90-94,2015,1,2015 Q1,1951,33716,0.05786570174397912
90-94,2015,2,2015 Q2,1598,33477,0.047734265316485947
90-94,2015,3,2015 Q3,1543,33635,0.045874832763490414
90-94,2015,4,2015 Q4,1661,33828,0.04910133617121911
90-94,2016,1,2016 Q1,1805,33790,0.0534181710565256
90-94,2016,2,2016 Q2,1561,33804,0.04617796710448468
90-94,2016,3,2016 Q3,1523,34082,0.044686344698081096
90-94,2016,4,2016 Q4,1739,34325,0.05066278222869629
90-94,2017,1,2017 Q1,2030,34250,0.05927007299270073
90-94,2017,2,2017 Q2,1623,34047,0.0476693981848621
90-94,2017,3,2017 Q3,1502,34392,0.04367294719702256
90-94,2017,4,2017 Q4,1707,34689,0.04920868286776788
90-94,2018,1,2018 Q1,2131,34591,0.06160561995894886
90-94,2018,2,2018 Q2,1670,34331,0.04864408260755585
90-94,2018,3,2018 Q3,1636,34384,0.047580269892973474
90-94,2018,4,2018 Q4,1645,34567,0.047588740706454136
90-94,2019,1,2019 Q1,1824,34661,0.05262398661319639
90-94,2019,2,2019 Q2,1636,34656,0.04720683287165282
90-94,2019,3,2019 Q3,1571,34751,0.04520733216310322
90-94,2019,4,2019 Q4,1779,34962,0.05088381671529089
90-94,2020,1,2020 Q1,1817,34714,0.05234199458431757
90-94,2020,2,2020 Q2,1684,34591,0.0486831834870342
90-94,2020,3,2020 Q3,1614,34703,0.04650894735325476
90-94,2020,4,2020 Q4,1764,34851,0.05061547731772403
90-94,2021,1,2021 Q1,1823,34831,0.052338434153483965
90-94,2021,2,2021 Q2,1626,34751,0.04679002043106673
90-94,2021,3,2021 Q3,1711,34878,0.04905671196742933
90-94,2021,4,2021 Q4,1907,35047,0.05441264587553856
90-94,2022,1,2022 Q1,2047,34795,0.05883029170857882
90-94,2022,2,2022 Q2,1686,34699,0.048589296521513586
90-94,2022,3,2022 Q3,1708,34905,0.048932817647901444
90-94,2022,4,2022 Q4,1923,35129,0.05474109709926272
95+,2008,1,2008 Q1,738,7763,0.09506634033234575
95+,2008,2,2008 Q2,658,7773,0.08465200051460182
95+,2008,3,2008 Q3,613,7780,0.07879177377892031
95+,2008,4,2008 Q4,687,7882,0.08716061913219995
95+,2009,1,2009 Q1,839,7942,0.10564089649962226
95+,2009,2,2009 Q2,620,7876,0.0787201625190452
95+,2009,3,2009 Q3,596,7961,0.07486496671272454
95+,2009,4,2009 Q4,675,8123,0.0830973778160778
95+,2010,1,2010 Q1,795,8210,0.09683313032886723
95+,2010,2,2010 Q2,644,8199,0.07854616416636175
95+,2010,3,2010 Q3,673,8221,0.08186352025301058
95+,2010,4,2010 Q4,750,8219,0.09125197712617107
95+,2011,1,2011 Q1,735,8200,0.08963414634146341
95+,2011,2,2011 Q2,708,8284,0.08546595847416708
95+,2011,3,2011 Q3,629,8323,0.07557371140213866
95+,2011,4,2011 Q4,727,8441,0.0861272361094657
95+,2012,1,2012 Q1,790,8464,0.09333648393194707
95+,2012,2,2012 Q2,700,8463,0.0827129859387924
95+,2012,3,2012 Q3,663,8527,0.07775301981939721
95+,2012,4,2012 Q4,754,8584,0.08783783783783784
95+,2013,1,2013 Q1,915,8563,0.10685507415625364
95+,2013,2,2013 Q2,699,8428,0.08293782629330802
95+,2013,3,2013 Q3,663,8504,0.07796331138287864
95+,2013,4,2013 Q4,668,8618,0.07751218380134602
95+,2014,1,2014 Q1,705,8731,0.08074676440270301
95+,2014,2,2014 Q2,674,8793,0.07665188217900602
95+,2014,3,2014 Q3,702,8815,0.0796369824163358
95+,2014,4,2014 Q4,758,8880,0.08536036036036036
95+,2015,1,2015 Q1,892,9057,0.09848735784476095
95+,2015,2,2015 Q2,765,9222,0.08295380611581002
95+,2015,3,2015 Q3,685,9349,0.07326986843512676
95+,2015,4,2015 Q4,775,9558,0.08108390876752458
95+,2016,1,2016 Q1,904,9674,0.09344635104403556
95+,2016,2,2016 Q2,833,9767,0.08528719156342787
95+,2016,3,2016 Q3,714,9871,0.07233309695066356
95+,2016,4,2016 Q4,833,10055,0.08284435604177026
95+,2017,1,2017 Q1,979,10126,0.09668180920402923
95+,2017,2,2017 Q2,811,10016,0.08097044728434505
95+,2017,3,2017 Q3,813,10035,0.08101644245142003
95+,2017,4,2017 Q4,829,10112,0.08198180379746836
95+,2018,1,2018 Q1,1090,10049,0.10846850432878893
95+,2018,2,2018 Q2,825,9901,0.08332491667508332
95+,2018,3,2018 Q3,822,10018,0.08205230584947096
95+,2018,4,2018 Q4,863,10114,0.08532726913189638
95+,2019,1,2019 Q1,947,10082,0.09392977583812735
95+,2019,2,2019 Q2,842,10100,0.08336633663366337
95+,2019,3,2019 Q3,807,10204,0.07908663269306154
95+,2019,4,2019 Q4,875,10284,0.08508362504861922
95+,2020,1,2020 Q1,879,10314,0.08522396742292031
95+,2020,2,2020 Q2,829,10436,0.0794365657339977
95+,2020,3,2020 Q3,870,10562,0.08237076311304677
95+,2020,4,2020 Q4,904,10604,0.08525084873632592
95+,2021,1,2021 Q1,923,10627,0.08685423920203256
95+,2021,2,2021 Q2,902,10728,0.08407904548844146
95+,2021,3,2021 Q3,917,10813,0.08480532692129844
95+,2021,4,2021 Q4,1082,10830,0.09990766389658357
95+,2022,1,2022 Q1,1151,10670,0.10787253983130272
95+,2022,2,2022 Q2,912,10453,0.08724768009183967
95+,2022,3,2022 Q3,840,10457,0.08032896624270823
95+,2022,4,2022 Q4,957,10494,0.09119496855345911
