Age,Sex,Year,Quarter,YQ,Deaths,Population,Death_rate
0-9,Male,2011,4,2011 Q4,40,332469,1.2031196893544962e-4
0-9,Male,2012,1,2012 Q1,35,331869,1.0546330027812179e-4
0-9,Male,2012,2,2012 Q2,36,331188,1.0869959056487554e-4
0-9,Male,2012,3,2012 Q3,39,330480,1.1801016702977488e-4
0-9,Male,2012,4,2012 Q4,28,329780,8.490508824064527e-5
0-9,Male,2013,1,2013 Q1,32,329266,9.718586188674203e-5
0-9,Male,2013,2,2013 Q2,33,328422,1.0048047938323255e-4
0-9,Male,2013,3,2013 Q3,30,327816,9.15147521780511e-5
0-9,Male,2013,4,2013 Q4,37,326386,1.1336270550820194e-4
0-9,Male,2014,1,2014 Q1,47,325527,1.4438126484131884e-4
0-9,Male,2014,2,2014 Q2,36,324479,1.1094708748486035e-4
0-9,Male,2014,3,2014 Q3,35,323985,1.0802969273268825e-4
0-9,Male,2014,4,2014 Q4,42,323432,1.298572806648693e-4
0-9,Male,2015,1,2015 Q1,37,322792,1.1462489776698307e-4
0-9,Male,2015,2,2015 Q2,33,322078,1.024596526307292e-4
0-9,Male,2015,3,2015 Q3,36,321690,1.1190898069570084e-4
0-9,Male,2015,4,2015 Q4,33,321744,1.0256601521706698e-4
0-9,Male,2016,1,2016 Q1,38,322054,1.1799263477553454e-4
0-9,Male,2016,2,2016 Q2,41,321821,1.2740001429366015e-4
0-9,Male,2016,3,2016 Q3,38,321622,1.1815112150288226e-4
0-9,Male,2016,4,2016 Q4,31,321815,9.632863601758775e-5
0-9,Male,2017,1,2017 Q1,48,321656,1.4922774641231627e-4
0-9,Male,2017,2,2017 Q2,39,321156,1.2143631132533722e-4
0-9,Male,2017,3,2017 Q3,50,320990,1.557680924639397e-4
0-9,Male,2017,4,2017 Q4,28,320687,8.731255086735665e-5
0-9,Male,2018,1,2018 Q1,48,320050,1.4997656616153726e-4
0-9,Male,2018,2,2018 Q2,44,319173,1.3785627230373496e-4
0-9,Male,2018,3,2018 Q3,32,318841,1.0036350406629009e-4
0-9,Male,2018,4,2018 Q4,35,317976,1.1007120034216419e-4
0-9,Male,2019,1,2019 Q1,27,317207,8.511791984413964e-5
0-9,Male,2019,2,2019 Q2,24,316251,7.588908809774514e-5
0-9,Male,2019,3,2019 Q3,47,316054,1.4870876495788694e-4
0-9,Male,2019,4,2019 Q4,33,315953,1.0444591442398078e-4
0-9,Male,2020,1,2020 Q1,32,315413,1.0145428374860897e-4
0-9,Male,2020,2,2020 Q2,45,314296,1.4317713238475832e-4
0-9,Male,2020,3,2020 Q3,29,313726,9.243734978930659e-5
0-9,Male,2020,4,2020 Q4,36,313571,1.1480653504310029e-4
0-9,Male,2021,1,2021 Q1,34,313103,1.0859046384097246e-4
0-9,Male,2021,2,2021 Q2,30,313215,9.578085340740386e-5
0-9,Male,2021,3,2021 Q3,34,313518,1.084467239520538e-4
0-9,Male,2021,4,2021 Q4,37,314001,1.1783401963688013e-4
0-9,Male,2022,1,2022 Q1,29,314832,9.211261879351528e-5
0-9,Male,2022,2,2022 Q2,29,314921,9.208658679478346e-5
0-9,Male,2022,3,2022 Q3,26,317362,8.192537228779753e-5
0-9,Male,2022,4,2022 Q4,39,317520,1.2282690854119424e-4
10-19,Female,2008,1,2008 Q1,8,334030,2.3949944615753077e-5
10-19,Female,2008,2,2008 Q2,13,334714,3.8839128330455256e-5
10-19,Female,2008,3,2008 Q3,9,335212,2.6848680834814983e-5
10-19,Female,2008,4,2008 Q4,16,337188,4.7451273473551845e-5
10-19,Female,2009,1,2009 Q1,13,337576,3.850984667156433e-5
10-19,Female,2009,2,2009 Q2,13,338008,3.8460628150812995e-5
10-19,Female,2009,3,2009 Q3,14,338227,4.1392319359483424e-5
10-19,Female,2009,4,2009 Q4,6,339347,1.7681016776338086e-5
10-19,Female,2010,1,2010 Q1,10,339228,2.9478698692324925e-5
10-19,Female,2010,2,2010 Q2,15,339427,4.4192123785084864e-5
10-19,Female,2010,3,2010 Q3,10,339380,2.9465495904296068e-5
10-19,Female,2010,4,2010 Q4,9,340227,2.6452927016374362e-05
10-19,Female,2011,1,2011 Q1,14,340357,4.113328064355955e-5
10-19,Female,2011,2,2011 Q2,11,340304,3.232403968216653e-5
10-19,Female,2011,3,2011 Q3,9,339706,2.6493497318269328e-5
10-19,Female,2011,4,2011 Q4,6,340377,1.7627513022325246e-5
10-19,Female,2012,1,2012 Q1,8,340299,2.35087379040197e-5
10-19,Female,2012,2,2012 Q2,7,339639,2.061011839040864e-5
10-19,Female,2012,3,2012 Q3,7,338759,2.0663657644520145e-5
10-19,Female,2012,4,2012 Q4,7,338831,2.06592667140846e-5
10-19,Female,2013,1,2013 Q1,13,338073,3.8453233473243945e-5
10-19,Female,2013,2,2013 Q2,8,337050,2.3735350838154578e-5
10-19,Female,2013,3,2013 Q3,6,336374,1.783728825652399e-5
10-19,Female,2013,4,2013 Q4,4,336990,1.1869788421021396e-5
10-19,Female,2014,1,2014 Q1,8,336830,2.3750853546299322e-05
10-19,Female,2014,2,2014 Q2,8,336298,2.3788425741455494e-5
10-19,Female,2014,3,2014 Q3,6,335076,1.7906385417039715e-5
10-19,Female,2014,4,2014 Q4,8,335637,2.383527441849379e-5
10-19,Female,2015,1,2015 Q1,12,334637,3.585975250794144e-5
10-19,Female,2015,2,2015 Q2,11,333685,3.296522169111587e-5
10-19,Female,2015,3,2015 Q3,4,333113,1.2007937246519949e-5
10-19,Female,2015,4,2015 Q4,6,333826,1.7973435262681755e-5
10-19,Female,2016,1,2016 Q1,9,333602,2.6978255526046006e-5
10-19,Female,2016,2,2016 Q2,11,333320,3.300132005280211e-5
10-19,Female,2016,3,2016 Q3,6,333154,1.8009689212796484e-5
10-19,Female,2016,4,2016 Q4,12,334482,3.5876370028880475e-5
10-19,Female,2017,1,2017 Q1,9,333762,2.6965322595142646e-5
10-19,Female,2017,2,2017 Q2,8,333233,2.40072261750787e-5
10-19,Female,2017,3,2017 Q3,7,332222,2.1070248207523883e-5
10-19,Female,2017,4,2017 Q4,7,333178,2.100979056240208e-5
10-19,Female,2018,1,2018 Q1,6,333221,1.8006068044931143e-5
10-19,Female,2018,2,2018 Q2,5,333192,1.500636269778386e-5
10-19,Female,2018,3,2018 Q3,8,332868,2.4033550836968407e-5
10-19,Female,2018,4,2018 Q4,7,333927,2.0962665492757398e-5
10-19,Female,2019,1,2019 Q1,12,333492,3.598287215285524e-5
10-19,Female,2019,2,2019 Q2,13,333162,3.9020056308942795e-5
10-19,Female,2019,3,2019 Q3,1,332202,3.010216675396295e-6
10-19,Female,2019,4,2019 Q4,6,332970,1.801964140913596e-5
10-19,Female,2020,1,2020 Q1,12,332524,3.6087620743164405e-5
10-19,Female,2020,2,2020 Q2,7,332113,2.1077163495557237e-5
10-19,Female,2020,3,2020 Q3,7,331273,2.1130608289839498e-5
10-19,Female,2020,4,2020 Q4,7,331889,2.1091388988487114e-5
10-19,Female,2021,1,2021 Q1,6,331491,1.8100038915083666e-5
10-19,Female,2021,2,2021 Q2,11,330679,3.3264888305577315e-5
10-19,Female,2021,3,2021 Q3,4,329855,1.2126540449591488e-5
10-19,Female,2021,4,2021 Q4,10,330854,3.022481215279247e-5
10-19,Female,2022,1,2022 Q1,5,330006,1.5151239674430162e-5
10-19,Female,2022,2,2022 Q2,7,329510,2.124366483566508e-5
10-19,Female,2022,3,2022 Q3,10,330634,3.0244923389609056e-5
10-19,Female,2022,4,2022 Q4,8,331326,2.4145403620603272e-5
10-19,Male,2008,1,2008 Q1,34,352105,9.656210505389018e-5
10-19,Male,2008,2,2008 Q2,24,352833,6.802084839003154e-5
10-19,Male,2008,3,2008 Q3,21,353132,5.9467847717001005e-5
10-19,Male,2008,4,2008 Q4,24,354714,6.766014310120265e-5
10-19,Male,2009,1,2009 Q1,21,355430,5.908336381284641e-5
10-19,Male,2009,2,2009 Q2,19,355717,5.341324704751249e-5
10-19,Male,2009,3,2009 Q3,22,355755,6.184031145029586e-5
10-19,Male,2009,4,2009 Q4,23,356939,6.443678051431757e-5
10-19,Male,2010,1,2010 Q1,17,357077,4.7608779058858456e-5
10-19,Male,2010,2,2010 Q2,20,356982,5.602523376528789e-5
10-19,Male,2010,3,2010 Q3,15,357003,4.20164536432467e-5
10-19,Male,2010,4,2010 Q4,19,357678,5.312040438606792e-5
10-19,Male,2011,1,2011 Q1,19,357834,5.3097246209136077e-5
10-19,Male,2011,2,2011 Q2,19,357715,5.311490991431727e-5
10-19,Male,2011,3,2011 Q3,17,357243,4.758665670146091e-5
10-19,Male,2011,4,2011 Q4,17,357650,4.7532503844540754e-5
10-19,Male,2012,1,2012 Q1,22,357533,6.153278158939175e-5
10-19,Male,2012,2,2012 Q2,12,356708,3.3640961234399006e-5
10-19,Male,2012,3,2012 Q3,13,355707,3.654693329060153e-5
10-19,Male,2012,4,2012 Q4,14,355783,3.934982840664113e-5
10-19,Male,2013,1,2013 Q1,19,355271,5.3480300953356734e-5
10-19,Male,2013,2,2013 Q2,17,354242,4.798979228888726e-5
10-19,Male,2013,3,2013 Q3,17,353249,4.8124693912792395e-5
10-19,Male,2013,4,2013 Q4,18,353763,5.088152237514947e-5
10-19,Male,2014,1,2014 Q1,16,353658,4.524144795254172e-5
10-19,Male,2014,2,2014 Q2,10,353031,2.8326124334690153e-5
10-19,Male,2014,3,2014 Q3,16,351860,4.54726311601205e-5
10-19,Male,2014,4,2014 Q4,12,352480,3.404448479346346e-5
10-19,Male,2015,1,2015 Q1,14,351599,3.98180882198186e-5
10-19,Male,2015,2,2015 Q2,12,350779,3.420957354915773e-5
10-19,Male,2015,3,2015 Q3,11,350092,3.142031237503285e-5
10-19,Male,2015,4,2015 Q4,14,350730,3.9916745074558774e-5
10-19,Male,2016,1,2016 Q1,8,350263,2.283998024341709e-5
10-19,Male,2016,2,2016 Q2,12,349813,3.430404244553519e-5
10-19,Male,2016,3,2016 Q3,8,349756,2.287308866752822e-5
10-19,Male,2016,4,2016 Q4,11,351048,3.1334746245527674e-5
10-19,Male,2017,1,2017 Q1,21,350650,5.988877798374448e-5
10-19,Male,2017,2,2017 Q2,14,349918,4.000937362467778e-5
10-19,Male,2017,3,2017 Q3,13,348982,3.7251204933205727e-5
10-19,Male,2017,4,2017 Q4,12,349694,3.4315716026011316e-5
10-19,Male,2018,1,2018 Q1,19,349850,5.430898956695727e-5
10-19,Male,2018,2,2018 Q2,19,349616,5.434533888609217e-5
10-19,Male,2018,3,2018 Q3,13,349402,3.7206426980956033e-5
10-19,Male,2018,4,2018 Q4,19,350287,5.4241236471807404e-5
10-19,Male,2019,1,2019 Q1,19,350177,5.425827510087756e-5
10-19,Male,2019,2,2019 Q2,18,349680,5.147563486616335e-5
10-19,Male,2019,3,2019 Q3,16,349081,4.5834634368527647e-5
10-19,Male,2019,4,2019 Q4,14,349571,4.0049088740198704e-5
10-19,Male,2020,1,2020 Q1,17,349387,4.86566472135483e-5
10-19,Male,2020,2,2020 Q2,8,349149,2.291285382458492e-5
10-19,Male,2020,3,2020 Q3,16,348389,4.592567503566416e-5
10-19,Male,2020,4,2020 Q4,12,348964,3.4387501289531296e-5
10-19,Male,2021,1,2021 Q1,9,348549,2.5821333585808596e-5
10-19,Male,2021,2,2021 Q2,10,347593,2.876927901309865e-5
10-19,Male,2021,3,2021 Q3,14,346554,4.0397744651627164e-5
10-19,Male,2021,4,2021 Q4,17,347156,4.896933943241655e-5
10-19,Male,2022,1,2022 Q1,19,346522,5.48305735277991e-5
10-19,Male,2022,2,2022 Q2,13,345986,3.7573774661402483e-5
10-19,Male,2022,3,2022 Q3,10,346994,2.881894211427287e-5
10-19,Male,2022,4,2022 Q4,9,347411,2.590591547187625e-5
20-29,Female,2008,1,2008 Q1,19,308594,6.156957037401894e-5
20-29,Female,2008,2,2008 Q2,16,309176,5.175045928532616e-5
20-29,Female,2008,3,2008 Q3,18,308165,5.841026722697256e-5
20-29,Female,2008,4,2008 Q4,13,310984,4.1802793712859825e-5
20-29,Female,2009,1,2009 Q1,30,311616,9.627233518176216e-5
20-29,Female,2009,2,2009 Q2,16,312720,5.1163980557687386e-5
20-29,Female,2009,3,2009 Q3,16,311835,5.13091859476967e-5
20-29,Female,2009,4,2009 Q4,24,315160,7.615179591318696e-5
20-29,Female,2010,1,2010 Q1,19,315130,6.0292577666359915e-5
20-29,Female,2010,2,2010 Q2,20,316387,6.321372243486617e-5
20-29,Female,2010,3,2010 Q3,16,315739,5.0674766183461656e-5
20-29,Female,2010,4,2010 Q4,19,319924,5.9389104912416696e-5
20-29,Female,2011,1,2011 Q1,15,320462,4.68074217847982e-5
20-29,Female,2011,2,2011 Q2,16,322364,4.9633333746944446e-5
20-29,Female,2011,3,2011 Q3,18,322294,5.584962797942251e-5
20-29,Female,2011,4,2011 Q4,15,326308,4.596883925616289e-5
20-29,Female,2012,1,2012 Q1,20,327417,6.108418316703165e-5
20-29,Female,2012,2,2012 Q2,18,329269,5.466654923482016e-5
20-29,Female,2012,3,2012 Q3,14,329254,4.252036421729121e-5
20-29,Female,2012,4,2012 Q4,13,334433,3.8871762056974044e-5
20-29,Female,2013,1,2013 Q1,18,336050,5.356345781877697e-5
20-29,Female,2013,2,2013 Q2,24,338939,7.080920165575517e-5
20-29,Female,2013,3,2013 Q3,18,339123,5.3078086711900995e-5
20-29,Female,2013,4,2013 Q4,12,344457,3.483743979654935e-5
20-29,Female,2014,1,2014 Q1,19,345187,5.504262906772271e-5
20-29,Female,2014,2,2014 Q2,14,348011,4.0228613463367536e-5
20-29,Female,2014,3,2014 Q3,13,348518,3.730079938482374e-5
20-29,Female,2014,4,2014 Q4,23,353718,6.502354983348316e-5
20-29,Female,2015,1,2015 Q1,22,355003,6.197130728472717e-5
20-29,Female,2015,2,2015 Q2,14,359027,3.8994281767109434e-5
20-29,Female,2015,3,2015 Q3,14,359505,3.894243473665178e-5
20-29,Female,2015,4,2015 Q4,8,365180,2.1907004764773535e-5
20-29,Female,2016,1,2016 Q1,19,366262,5.187543343289776e-5
20-29,Female,2016,2,2016 Q2,19,369239,5.1457186266889464e-5
20-29,Female,2016,3,2016 Q3,30,368467,8.14184173888028e-5
20-29,Female,2016,4,2016 Q4,27,374004,7.219174126479931e-5
20-29,Female,2017,1,2017 Q1,21,374323,5.6101281513559145e-5
20-29,Female,2017,2,2017 Q2,20,377012,5.3048709324902123e-5
20-29,Female,2017,3,2017 Q3,9,376048,2.3933114921499383e-5
20-29,Female,2017,4,2017 Q4,17,381177,4.459870348945503e-5
20-29,Female,2018,1,2018 Q1,16,381064,4.1987697604601855e-5
20-29,Female,2018,2,2018 Q2,15,382275,3.9238767902687854e-5
20-29,Female,2018,3,2018 Q3,13,380726,3.414529083908112e-5
20-29,Female,2018,4,2018 Q4,9,385267,2.336042277174012e-5
20-29,Female,2019,1,2019 Q1,20,383801,5.211033843059294e-5
20-29,Female,2019,2,2019 Q2,25,385555,6.484159199076656e-5
20-29,Female,2019,3,2019 Q3,11,383578,2.867734854449421e-5
20-29,Female,2019,4,2019 Q4,18,386485,4.657360570267928e-5
20-29,Female,2020,1,2020 Q1,19,383339,4.956448469892184e-5
20-29,Female,2020,2,2020 Q2,20,383094,5.220650806329517e-5
20-29,Female,2020,3,2020 Q3,25,381127,6.55949329226216e-5
20-29,Female,2020,4,2020 Q4,20,381907,5.2368770407455215e-5
20-29,Female,2021,1,2021 Q1,21,381467,5.505063347550378e-5
20-29,Female,2021,2,2021 Q2,20,380546,5.255606418146558e-5
20-29,Female,2021,3,2021 Q3,19,379543,5.006020398215749e-5
20-29,Female,2021,4,2021 Q4,19,382483,4.9675410410397325e-5
20-29,Female,2022,1,2022 Q1,22,382538,5.751062639528622e-5
20-29,Female,2022,2,2022 Q2,12,384181,3.1235277121981566e-5
20-29,Female,2022,3,2022 Q3,20,383963,5.2088352263108684e-5
20-29,Female,2022,4,2022 Q4,23,386486,5.951056441889228e-5
20-29,Male,2008,1,2008 Q1,69,314926,2.1909908994493943e-4
20-29,Male,2008,2,2008 Q2,56,315800,1.773274224192527e-4
20-29,Male,2008,3,2008 Q3,58,315404,1.8389113644722325e-4
20-29,Male,2008,4,2008 Q4,56,318541,1.758015451700095e-4
20-29,Male,2009,1,2009 Q1,62,319202,1.9423437196508793e-4
20-29,Male,2009,2,2009 Q2,55,320001,1.7187446289230346e-4
20-29,Male,2009,3,2009 Q3,47,319403,1.471495258341343e-4
20-29,Male,2009,4,2009 Q4,47,321923,1.459976453996763e-4
20-29,Male,2010,1,2010 Q1,50,322375,1.5509887553315238e-4
20-29,Male,2010,2,2010 Q2,46,323957,1.4199415354506926e-4
20-29,Male,2010,3,2010 Q3,50,323695,1.5446639583558596e-4
20-29,Male,2010,4,2010 Q4,49,327389,1.4966904813539856e-4
20-29,Male,2011,1,2011 Q1,38,328545,1.1566147711881173e-4
20-29,Male,2011,2,2011 Q2,44,330406,1.3316949450070518e-4
20-29,Male,2011,3,2011 Q3,39,331168,1.177650014494154e-4
20-29,Male,2011,4,2011 Q4,49,334893,1.4631539028883852e-4
20-29,Male,2012,1,2012 Q1,44,336248,1.3085579691180318e-4
20-29,Male,2012,2,2012 Q2,43,338625,1.2698412698412698e-4
20-29,Male,2012,3,2012 Q3,40,339581,1.1779222041280284e-4
20-29,Male,2012,4,2012 Q4,34,343887,9.886968684480658e-5
20-29,Male,2013,1,2013 Q1,26,345797,7.51886222263351e-5
20-29,Male,2013,2,2013 Q2,39,348907,1.1177763702075338e-4
20-29,Male,2013,3,2013 Q3,35,349982,1.0000514312164625e-4
20-29,Male,2013,4,2013 Q4,35,354973,9.859904837832737e-5
20-29,Male,2014,1,2014 Q1,48,356794,1.3453141028156303e-4
20-29,Male,2014,2,2014 Q2,31,359559,8.621672660119757e-5
20-29,Male,2014,3,2014 Q3,34,361354,9.40905593960493e-5
20-29,Male,2014,4,2014 Q4,47,366039,1.284016184067818e-4
20-29,Male,2015,1,2015 Q1,42,368395,1.1400806199866991e-4
20-29,Male,2015,2,2015 Q2,49,372288,1.3161853188929e-4
20-29,Male,2015,3,2015 Q3,35,374565,9.344172573518616e-5
20-29,Male,2015,4,2015 Q4,49,380014,1.2894261790355092e-4
20-29,Male,2016,1,2016 Q1,46,382470,1.202708709179805e-4
20-29,Male,2016,2,2016 Q2,47,385416,1.2194615687983893e-4
20-29,Male,2016,3,2016 Q3,46,385953,1.1918549667964752e-4
20-29,Male,2016,4,2016 Q4,46,390137,1.1790729923078304e-4
20-29,Male,2017,1,2017 Q1,40,391116,1.0227144887961628e-4
20-29,Male,2017,2,2017 Q2,49,393267,1.2459728377921362e-4
20-29,Male,2017,3,2017 Q3,39,393336,9.915187015681249e-5
20-29,Male,2017,4,2017 Q4,52,397063,1.3096158544110127e-4
20-29,Male,2018,1,2018 Q1,46,397285,1.1578589677435594e-4
20-29,Male,2018,2,2018 Q2,47,398310,1.1799854384775678e-4
20-29,Male,2018,3,2018 Q3,32,397570,8.048897049576175e-5
20-29,Male,2018,4,2018 Q4,31,400573,7.738914005686854e-5
20-29,Male,2019,1,2019 Q1,38,400078,9.498147861167073e-5
20-29,Male,2019,2,2019 Q2,45,400873,1.1225500345495955e-4
20-29,Male,2019,3,2019 Q3,45,399933,1.125188469068569e-4
20-29,Male,2019,4,2019 Q4,43,401405,1.0712372790573112e-4
20-29,Male,2020,1,2020 Q1,50,399362,1.2519969351115027e-4
20-29,Male,2020,2,2020 Q2,39,398617,9.783827583871235e-5
20-29,Male,2020,3,2020 Q3,62,396910,1.5620669673225667e-4
20-29,Male,2020,4,2020 Q4,43,397572,1.0815651001579588e-4
20-29,Male,2021,1,2021 Q1,37,397273,9.31349475046127e-5
20-29,Male,2021,2,2021 Q2,43,396400,1.0847628657921291e-4
20-29,Male,2021,3,2021 Q3,39,395902,9.85092270309319e-5
20-29,Male,2021,4,2021 Q4,46,398555,1.154169437091493e-4
20-29,Male,2022,1,2022 Q1,35,398984,8.77228159525194e-5
20-29,Male,2022,2,2022 Q2,48,399688,1.200936730649907e-4
20-29,Male,2022,3,2022 Q3,43,398748,1.078375314735121e-4
20-29,Male,2022,4,2022 Q4,39,400321,9.742181899026032e-5
30-39,Female,2008,1,2008 Q1,74,374247,1.9773037592819715e-4
30-39,Female,2008,2,2008 Q2,54,372886,1.4481637819601702e-4
30-39,Female,2008,3,2008 Q3,44,372442,1.1813920019761466e-4
30-39,Female,2008,4,2008 Q4,51,372393,1.3695209093618837e-4
30-39,Female,2009,1,2009 Q1,54,371637,1.453030780035357e-4
30-39,Female,2009,2,2009 Q2,48,370729,1.2947462971604596e-4
30-39,Female,2009,3,2009 Q3,43,370264,1.1613335349912495e-4
30-39,Female,2009,4,2009 Q4,42,369716,1.1360070973395796e-4
30-39,Female,2010,1,2010 Q1,44,368905,1.1927189926945961e-4
30-39,Female,2010,2,2010 Q2,49,368324,1.3303504523191537e-4
30-39,Female,2010,3,2010 Q3,31,367199,8.442288786189505e-5
30-39,Female,2010,4,2010 Q4,34,366289,9.282288029397552e-5
30-39,Female,2011,1,2011 Q1,41,365180,1.1227339941946437e-4
30-39,Female,2011,2,2011 Q2,35,363254,9.635131340604646e-5
30-39,Female,2011,3,2011 Q3,29,361478,8.022618250626595e-5
30-39,Female,2011,4,2011 Q4,39,359664,1.0843453890297612e-4
30-39,Female,2012,1,2012 Q1,34,357610,9.507564106149156e-5
30-39,Female,2012,2,2012 Q2,46,355579,1.2936646989839107e-4
30-39,Female,2012,3,2012 Q3,35,353049,9.913638050242317e-5
30-39,Female,2012,4,2012 Q4,26,351002,7.40736520019829e-5
30-39,Female,2013,1,2013 Q1,50,349217,1.4317745126955447e-4
30-39,Female,2013,2,2013 Q2,37,347209,1.065640579593271e-4
30-39,Female,2013,3,2013 Q3,31,345377,8.97569901875342e-5
30-39,Female,2013,4,2013 Q4,21,344064,6.103515625e-5
30-39,Female,2014,1,2014 Q1,39,342862,1.1374838856449534e-4
30-39,Female,2014,2,2014 Q2,36,341157,1.0552326348279531e-4
30-39,Female,2014,3,2014 Q3,40,339933,1.1767024678392507e-4
30-39,Female,2014,4,2014 Q4,36,338607,1.063179438109667e-4
30-39,Female,2015,1,2015 Q1,26,337167,7.711312198406131e-5
30-39,Female,2015,2,2015 Q2,32,335440,9.539709038874314e-5
30-39,Female,2015,3,2015 Q3,35,334695,1.0457282003017673e-4
30-39,Female,2015,4,2015 Q4,35,334157,1.0474118453301892e-4
