Age,Sex,Year,Quarter,YQ,Deaths,Population,Death_rate
0-9,Female,2008,1,2008 Q1,28,321280,8.715139442231076e-5
0-9,Female,2008,2,2008 Q2,29,321211,9.028333400786399e-5
0-9,Female,2008,3,2008 Q3,43,321267,1.3384505722654366e-4
0-9,Female,2008,4,2008 Q4,38,321197,1.1830745617175752e-4
0-9,Female,2009,1,2009 Q1,30,321154,9.341312890389035e-5
0-9,Female,2009,2,2009 Q2,35,320814,1.0909748327691435e-4
0-9,Female,2009,3,2009 Q3,32,320283,9.991164064280652e-5
0-9,Female,2009,4,2009 Q4,35,320126,1.0933195054447312e-4
0-9,Female,2010,1,2010 Q1,35,320018,1.0936884800229986e-4
0-9,Female,2010,2,2010 Q2,36,319629,1.1263058107993956e-4
0-9,Female,2010,3,2010 Q3,24,319204,7.518702773148207e-5
0-9,Female,2010,4,2010 Q4,23,319042,7.209082189805731e-5
0-9,Female,2011,1,2011 Q1,40,318662,1.2552485078233362e-4
0-9,Female,2011,2,2011 Q2,33,317833,1.0382811098910434e-4
0-9,Female,2011,3,2011 Q3,28,317247,8.825930584055957e-5
0-9,Female,2011,4,2011 Q4,36,316669,1.1368337285935788e-4
0-9,Female,2012,1,2012 Q1,26,315882,8.230921673283062e-5
0-9,Female,2012,2,2012 Q2,29,315132,9.202492923600269e-5
0-9,Female,2012,3,2012 Q3,34,314306,1.0817483598785896e-4
0-9,Female,2012,4,2012 Q4,32,313625,1.0203268234356318e-4
0-9,Female,2013,1,2013 Q1,27,313210,8.620414418441302e-5
0-9,Female,2013,2,2013 Q2,32,312500,1.024e-4
0-9,Female,2013,3,2013 Q3,42,311568,1.348020335849638e-4
0-9,Female,2013,4,2013 Q4,24,310411,7.731684766325936e-5
0-9,Female,2014,1,2014 Q1,25,309401,8.080129023500247e-5
0-9,Female,2014,2,2014 Q2,25,308432,8.105514343518183e-5
0-9,Female,2014,3,2014 Q3,30,307707,9.749534459729548e-5
0-9,Female,2014,4,2014 Q4,34,307121,1.1070555253466874e-4
0-9,Female,2015,1,2015 Q1,32,306523,1.0439673368719476e-4
0-9,Female,2015,2,2015 Q2,32,305680,1.0468463752944256e-4
0-9,Female,2015,3,2015 Q3,29,305301,9.498822473558881e-5
0-9,Female,2015,4,2015 Q4,28,305242,9.173049580332982e-5
0-9,Female,2016,1,2016 Q1,31,305319,1.015331505736623e-4
0-9,Female,2016,2,2016 Q2,20,305227,6.552500270290636e-5
0-9,Female,2016,3,2016 Q3,33,304918,1.0822581808879765e-4
0-9,Female,2016,4,2016 Q4,25,305066,8.194947978470232e-5
0-9,Female,2017,1,2017 Q1,26,304850,8.528784648187633e-5
0-9,Female,2017,2,2017 Q2,33,304408,1.0840713778875719e-4
0-9,Female,2017,3,2017 Q3,38,304194,1.2492028113638006e-4
0-9,Female,2017,4,2017 Q4,20,303760,6.584145377929945e-5
0-9,Female,2018,1,2018 Q1,32,303429,1.054612446404266e-4
0-9,Female,2018,2,2018 Q2,26,302790,8.586809339806467e-5
0-9,Female,2018,3,2018 Q3,27,302431,8.927656225717602e-5
0-9,Female,2018,4,2018 Q4,31,301819,1.0271056494123962e-4
0-9,Female,2019,1,2019 Q1,26,301009,8.637615486580135e-5
0-9,Female,2019,2,2019 Q2,24,300032,7.99914675767918e-5
0-9,Female,2019,3,2019 Q3,24,299559,8.011777312649595e-5
0-9,Female,2019,4,2019 Q4,24,299506,8.013195061200777e-5
0-9,Female,2020,1,2020 Q1,28,299076,9.36216881327823e-5
0-9,Female,2020,2,2020 Q2,21,298156,7.043292772910825e-5
0-9,Female,2020,3,2020 Q3,28,297711,9.405094202095321e-5
0-9,Female,2020,4,2020 Q4,17,297559,5.713152685685864e-5
0-9,Female,2021,1,2021 Q1,30,297107,1.00973723271414e-4
0-9,Female,2021,2,2021 Q2,26,297014,8.753796117354737e-5
0-9,Female,2021,3,2021 Q3,33,297090,1.110774512773907e-4
0-9,Female,2021,4,2021 Q4,30,297597,1.008074678172159e-4
0-9,Female,2022,1,2022 Q1,36,298194,1.2072677518662348e-4
0-9,Female,2022,2,2022 Q2,27,298286,9.051715467705491e-5
0-9,Female,2022,3,2022 Q3,28,300537,9.316656518165817e-5
0-9,Female,2022,4,2022 Q4,22,300664,7.317138067743395e-5
0-9,Male,2008,1,2008 Q1,64,336765,1.9004350214541296e-4
0-9,Male,2008,2,2008 Q2,48,336590,1.4260673222615052e-4
0-9,Male,2008,3,2008 Q3,46,336647,1.366416454030483e-4
0-9,Male,2008,4,2008 Q4,37,336678,1.098972905862575e-4
0-9,Male,2009,1,2009 Q1,36,336853,1.0687154337351902e-4
0-9,Male,2009,2,2009 Q2,29,336457,8.6192292031374e-5
0-9,Male,2009,3,2009 Q3,40,336237,1.1896370714704211e-4
0-9,Male,2009,4,2009 Q4,24,336024,7.142346975216056e-5
0-9,Male,2010,1,2010 Q1,38,335923,1.1312116169479315e-4
0-9,Male,2010,2,2010 Q2,48,335830,1.4292945835690676e-4
0-9,Male,2010,3,2010 Q3,31,335411,9.24239216960684e-5
0-9,Male,2010,4,2010 Q4,35,335141,1.0443365628198281e-4
0-9,Male,2011,1,2011 Q1,37,334700,1.1054675829100687e-4
0-9,Male,2011,2,2011 Q2,32,333869,9.584597551734362e-5
0-9,Male,2011,3,2011 Q3,32,333015,9.609176763809438e-5
