Age,Year,Quarter,YQ,Deaths,Population,Death_rate
0-9,2008,1,2008 Q1,92,658045,1.3980806783730595e-4
0-9,2008,2,2008 Q2,77,657801,1.1705667823551499e-4
0-9,2008,3,2008 Q3,89,657914,1.3527603911757464e-4
0-9,2008,4,2008 Q4,75,657875,1.1400342010260308e-4
0-9,2009,1,2009 Q1,66,658007,1.0030288431582035e-4
0-9,2009,2,2009 Q2,64,657271,9.73723167460606e-5
0-9,2009,3,2009 Q3,72,656520,1.0966916468652898e-4
0-9,2009,4,2009 Q4,59,656150,8.991846376590719e-5
0-9,2010,1,2010 Q1,73,655941,1.1129049716361685e-4
0-9,2010,2,2010 Q2,84,655459,1.281544688531243e-4
0-9,2010,3,2010 Q3,55,654615,8.401885077488295e-5
0-9,2010,4,2010 Q4,58,654183,8.866020670057156e-5
0-9,2011,1,2011 Q1,77,653362,1.178519718012373e-4
0-9,2011,2,2011 Q2,65,651702,9.973883768961887e-5
0-9,2011,3,2011 Q3,60,650262,9.227050019838157e-5
0-9,2011,4,2011 Q4,76,649138,1.1707834081505011e-4
0-9,2012,1,2012 Q1,61,647751,9.417198892784419e-5
0-9,2012,2,2012 Q2,65,646320,1.0056937739819285e-4
0-9,2012,3,2012 Q3,73,644786,1.1321585766440338e-4
0-9,2012,4,2012 Q4,60,643405,9.325386032125956e-5
0-9,2013,1,2013 Q1,59,642476,9.183222408307859e-5
0-9,2013,2,2013 Q2,65,640922,1.0141639700306746e-4
0-9,2013,3,2013 Q3,72,639384,1.1260838557111219e-4
0-9,2013,4,2013 Q4,61,636797,9.579190856740845e-5
0-9,2014,1,2014 Q1,72,634928,1.1339868457525892e-4
0-9,2014,2,2014 Q2,61,632911,9.638005975563705e-5
0-9,2014,3,2014 Q3,65,631692,1.028982478802961e-4
0-9,2014,4,2014 Q4,76,630553,1.2052912284930847e-4
0-9,2015,1,2015 Q1,69,629315,1.0964302455844848e-4
0-9,2015,2,2015 Q2,65,627758,1.0354308507418464e-4
0-9,2015,3,2015 Q3,65,626991,1.036697496455292e-4
0-9,2015,4,2015 Q4,61,626986,9.729084859949026e-5
0-9,2016,1,2016 Q1,69,627373,1.0998241875248059e-4
0-9,2016,2,2016 Q2,61,627048,9.728122886924127e-5
0-9,2016,3,2016 Q3,71,626540,1.1332077760398379e-4
0-9,2016,4,2016 Q4,56,626881,8.93311489740477e-5
0-9,2017,1,2017 Q1,74,626506,1.181153891582842e-4
0-9,2017,2,2017 Q2,72,625564,1.1509613724574943e-4
0-9,2017,3,2017 Q3,88,625184,1.407585606797359e-4
0-9,2017,4,2017 Q4,48,624447,7.686801281774114e-5
0-9,2018,1,2018 Q1,80,623479,1.2831226071768255e-4
0-9,2018,2,2018 Q2,70,621963,1.125468878373794e-4
0-9,2018,3,2018 Q3,59,621272,9.496645591624924e-5
0-9,2018,4,2018 Q4,66,619795,1.0648682225574586e-4
0-9,2019,1,2019 Q1,53,618216,8.573055372232359e-5
0-9,2019,2,2019 Q2,48,616283,7.788629574400073e-5
0-9,2019,3,2019 Q3,71,615613,1.1533219733826284e-4
0-9,2019,4,2019 Q4,57,615459,9.26138053062836e-5
0-9,2020,1,2020 Q1,60,614489,9.764210587984487e-5
0-9,2020,2,2020 Q2,66,612452,1.0776354718410585e-4
0-9,2020,3,2020 Q3,57,611437,9.322301398181661e-5
0-9,2020,4,2020 Q4,53,611130,8.672459214896995e-5
0-9,2021,1,2021 Q1,64,610210,1.0488192589436423e-4
0-9,2021,2,2021 Q2,56,610229,9.17688277679363e-5
0-9,2021,3,2021 Q3,67,610608,1.0972669863480334e-4
0-9,2021,4,2021 Q4,67,611598,1.0954908289431946e-4
0-9,2022,1,2022 Q1,65,613026,1.0603139181698656e-4
0-9,2022,2,2022 Q2,56,613207,9.132315841143366e-5
0-9,2022,3,2022 Q3,54,617899,8.73929234389439e-5
10-19,2008,1,2008 Q1,42,686135,6.121244361532352e-5
10-19,2008,2,2008 Q2,37,687547,5.3814502863076995e-5
10-19,2008,3,2008 Q3,30,688344,4.358285973292423e-5
10-19,2008,4,2008 Q4,40,691902,5.7811655407846775e-5
10-19,2009,1,2009 Q1,34,693006,4.9061624286081214e-5
10-19,2009,2,2009 Q2,32,693725,4.6127788388770765e-5
10-19,2009,3,2009 Q3,36,693982,5.187454429653795e-5
10-19,2009,4,2009 Q4,29,696286,4.164955205188672e-5
10-19,2010,1,2010 Q1,27,696305,3.877611104329281e-5
10-19,2010,2,2010 Q2,35,696409,5.025782263009237e-5
10-19,2010,3,2010 Q3,25,696383,3.5899785032087225e-5
10-19,2010,4,2010 Q4,28,697905,4.012007364899234e-5
10-19,2011,1,2011 Q1,33,698191,4.72650034159707e-5
10-19,2011,2,2011 Q2,30,698019,4.297877278412192e-5
10-19,2011,3,2011 Q3,26,696949,3.730545563592171e-5
10-19,2011,4,2011 Q4,23,698027,3.295001482750667e-5
10-19,2012,1,2012 Q1,30,697832,4.2990289926515264e-5
10-19,2012,2,2012 Q2,19,696347,2.728524715407692e-5
10-19,2012,3,2012 Q3,20,694466,2.879910607574741e-5
10-19,2012,4,2012 Q4,21,694614,3.0232618403890505e-5
10-19,2013,1,2013 Q1,32,693344,4.615313610559837e-5
10-19,2013,2,2013 Q2,25,691292,3.6164167963754824e-5
10-19,2013,3,2013 Q3,23,689623,3.335155585008041e-5
10-19,2013,4,2013 Q4,22,690753,3.1849300690695514e-5
10-19,2014,1,2014 Q1,24,690488,3.475802620755176e-5
10-19,2014,2,2014 Q2,18,689329,2.611234983585487e-5
10-19,2014,3,2014 Q3,22,686936,3.202627318993327e-5
10-19,2014,4,2014 Q4,20,688117,2.906482473184066e-5
10-19,2015,1,2015 Q1,26,686236,3.7887840334811934e-5
10-19,2015,2,2015 Q2,23,684464,3.360293602000982e-5
10-19,2015,3,2015 Q3,15,683205,2.1955342832678332e-5
10-19,2015,4,2015 Q4,20,684556,2.921601738937355e-5
10-19,2016,1,2016 Q1,17,683865,2.4858707493438033e-5
10-19,2016,2,2016 Q2,23,683133,3.3668407176933335e-5
10-19,2016,3,2016 Q3,14,682910,2.0500505191020778e-5
10-19,2016,4,2016 Q4,23,685530,3.355068341283387e-5
