Age,Year,Quarter,YQ,Deaths,Population,Death_rate
10-19,2017,1,2017 Q1,30,684412,4.38332466409122e-5
10-19,2017,2,2017 Q2,22,683151,3.2203714844887877e-5
10-19,2017,3,2017 Q3,20,681204,2.935978062371918e-5
10-19,2017,4,2017 Q4,19,682872,2.782366241403953e-5
10-19,2018,1,2018 Q1,25,683071,3.6599416458903976e-5
10-19,2018,2,2018 Q2,24,682808,3.5148973064170306e-5
10-19,2018,3,2018 Q3,21,682270,3.0779603382824984e-5
10-19,2018,4,2018 Q4,26,684214,3.799980707790253e-5
10-19,2019,1,2019 Q1,31,683669,4.534358000728423e-5
10-19,2019,2,2019 Q2,31,682842,4.5398496284645644e-5
10-19,2019,3,2019 Q3,17,681283,2.49529197117791e-5
10-19,2019,4,2019 Q4,20,682541,2.9302269021201656e-5
10-19,2020,1,2020 Q1,29,681911,4.252754391702143e-5
10-19,2020,2,2020 Q2,15,681262,2.2017960784543978e-5
10-19,2020,3,2020 Q3,23,679662,3.384035005635154e-5
10-19,2020,4,2020 Q4,19,680853,2.7906170641827237e-5
10-19,2021,1,2021 Q1,15,680040,2.2057526027880714e-5
10-19,2021,2,2021 Q2,21,678272,3.096103038309115e-5
10-19,2021,3,2021 Q3,18,676409,2.6611118420955367e-5
10-19,2021,4,2021 Q4,27,678010,3.982242149820799e-5
10-19,2022,1,2022 Q1,24,676528,3.547525010051321e-5
10-19,2022,2,2022 Q2,20,675496,2.9607873325674764e-5
10-19,2022,3,2022 Q3,20,677628,2.9514718990360493e-5
20-29,2008,1,2008 Q1,88,623520,1.4113420579933282e-4
20-29,2008,2,2008 Q2,72,624976,1.1520442384987584e-4
20-29,2008,3,2008 Q3,76,623569,1.2187905428268564e-4
20-29,2008,4,2008 Q4,69,629525,1.0960644930701719e-4
20-29,2009,1,2009 Q1,92,630818,1.458423824304316e-4
20-29,2009,2,2009 Q2,71,632721,1.1221375614212267e-4
20-29,2009,3,2009 Q3,63,631238,9.980387745984874e-5
20-29,2009,4,2009 Q4,71,637083,1.1144544745347152e-4
20-29,2010,1,2010 Q1,69,637505,1.082344452200375e-4
20-29,2010,2,2010 Q2,66,640344,1.0306960008995165e-4
20-29,2010,3,2010 Q3,66,639434,1.032162818993047e-4
20-29,2010,4,2010 Q4,68,647313,1.0504964368087773e-4
20-29,2011,1,2011 Q1,53,649007,8.166321780812842e-5
20-29,2011,2,2011 Q2,60,652770,9.191598878624937e-5
20-29,2011,3,2011 Q3,57,653462,8.722771943892682e-5
20-29,2011,4,2011 Q4,64,661201,9.679356201820626e-5
20-29,2012,1,2012 Q1,64,663665,9.64341949628201e-5
20-29,2012,2,2012 Q2,61,667894,9.133185804933118e-5
20-29,2012,3,2012 Q3,54,668835,8.07374016012918e-5
20-29,2012,4,2012 Q4,47,678320,6.928883123009789e-5
20-29,2013,1,2013 Q1,44,681847,6.453060583972651e-5
20-29,2013,2,2013 Q2,63,687846,9.159026875201716e-5
20-29,2013,3,2013 Q3,53,689105,7.691135603427634e-5
20-29,2013,4,2013 Q4,47,699430,6.719757516835137e-5
20-29,2014,1,2014 Q1,67,701981,9.544417868859699e-5
20-29,2014,2,2014 Q2,45,707570,6.359794790621422e-5
20-29,2014,3,2014 Q3,47,709872,6.620911939053801e-5
20-29,2014,4,2014 Q4,70,719757,9.725504580017979e-5
20-29,2015,1,2015 Q1,64,723398,8.847135325228989e-5
20-29,2015,2,2015 Q2,63,731315,8.614618871484927e-5
20-29,2015,3,2015 Q3,49,734070,6.675112727669023e-5
20-29,2015,4,2015 Q4,57,745194,7.649014887398449e-5
20-29,2016,1,2016 Q1,65,748732,8.681343925463317e-5
20-29,2016,2,2016 Q2,66,754655,8.745718242110634e-5
20-29,2016,3,2016 Q3,76,754420,1.0073964104875268e-4
20-29,2016,4,2016 Q4,73,764141,9.553210729433442e-5
20-29,2017,1,2017 Q1,61,765439,7.969282986625976e-5
20-29,2017,2,2017 Q2,69,770279,8.957793215185667e-5
20-29,2017,3,2017 Q3,48,769384,6.23875723955788e-5
20-29,2017,4,2017 Q4,69,778240,8.866159539473685e-5
20-29,2018,1,2018 Q1,62,778349,7.96557842304673e-5
20-29,2018,2,2018 Q2,62,780585,7.942760878059405e-5
20-29,2018,3,2018 Q3,45,778296,5.7818619137192017e-5
20-29,2018,4,2018 Q4,40,785840,5.090094675760969e-5
20-29,2019,1,2019 Q1,58,783879,7.39910113678259e-5
20-29,2019,2,2019 Q2,70,786428,8.901005559313757e-5
20-29,2019,3,2019 Q3,56,783511,7.147315098320253e-5
20-29,2019,4,2019 Q4,61,787890,7.742197514881519e-5
20-29,2020,1,2020 Q1,69,782701,8.815626912448049e-5
20-29,2020,2,2020 Q2,59,781711,7.547546343853419e-5
20-29,2020,3,2020 Q3,87,778037,1.1181987489026872e-4
20-29,2020,4,2020 Q4,63,779479,8.082321653309454e-5
20-29,2021,1,2021 Q1,58,778740,7.447928705344531e-5
20-29,2021,2,2021 Q2,63,776946,8.108671645133638e-5
20-29,2021,3,2021 Q3,58,775445,7.479576243318353e-5
20-29,2021,4,2021 Q4,65,781038,8.322258328019892e-5
20-29,2022,1,2022 Q1,57,781522,7.293460708719652e-5
20-29,2022,2,2022 Q2,60,783869,7.654340202253183e-5
20-29,2022,3,2022 Q3,62,782711,7.921186747088005e-5
30-39,2008,1,2008 Q1,167,754562,2.2132044815402843e-4
30-39,2008,2,2008 Q2,147,751671,1.9556428277797068e-4
30-39,2008,3,2008 Q3,138,750380,1.8390682054425758e-4
30-39,2008,4,2008 Q4,150,750113,1.9996987120607162e-4
30-39,2009,1,2009 Q1,152,748306,2.0312545937089906e-4
30-39,2009,2,2009 Q2,144,745907,1.930535576150914e-4
30-39,2009,3,2009 Q3,130,744436,1.7462884653616966e-4
30-39,2009,4,2009 Q4,147,742927,1.9786600836959754e-4
30-39,2010,1,2010 Q1,128,740762,1.7279504078232955e-4
30-39,2010,2,2010 Q2,133,739061,1.7995808194452148e-4
30-39,2010,3,2010 Q3,115,737011,1.560356629683953e-4
30-39,2010,4,2010 Q4,112,735065,1.523674777060532e-4
30-39,2011,1,2011 Q1,128,732381,1.7477242036590245e-4
30-39,2011,2,2011 Q2,134,728464,1.839486920424345e-4
30-39,2011,3,2011 Q3,116,724390,1.60134734052099e-4
30-39,2011,4,2011 Q4,120,720819,1.6647729873935067e-4
30-39,2012,1,2012 Q1,91,716036,1.2708858213832824e-4
30-39,2012,2,2012 Q2,121,711776,1.699973025221418e-4
30-39,2012,3,2012 Q3,104,707086,1.4708253310064123e-4
30-39,2012,4,2012 Q4,99,703239,1.4077717532730692e-4
30-39,2013,1,2013 Q1,125,700034,1.7856275552330316e-4
30-39,2013,2,2013 Q2,99,695823,1.4227756196618968e-4
30-39,2013,3,2013 Q3,96,692513,1.3862555648774824e-4
30-39,2013,4,2013 Q4,90,690289,1.3038017410099247e-4
30-39,2014,1,2014 Q1,107,687825,1.5556282484643623e-4
30-39,2014,2,2014 Q2,103,684958,1.503741835265812e-4
30-39,2014,3,2014 Q3,114,682901,1.66934885144406e-4
30-39,2014,4,2014 Q4,111,680985,1.6299918500407498e-4
30-39,2015,1,2015 Q1,80,678734,1.1786649851046213e-4
30-39,2015,2,2015 Q2,79,676268,1.1681759302525034e-4
30-39,2015,3,2015 Q3,93,675405,1.3769516068136897e-4
30-39,2015,4,2015 Q4,103,674567,1.526905407468791e-4
30-39,2016,1,2016 Q1,103,673593,1.5291132776023504e-4
30-39,2016,2,2016 Q2,95,672334,1.412988187418753e-4
30-39,2016,3,2016 Q3,83,672521,1.2341622046003025e-4
30-39,2016,4,2016 Q4,106,673516,1.573830465794428e-4
30-39,2017,1,2017 Q1,92,673969,1.365047947309149e-4
30-39,2017,2,2017 Q2,94,674177,1.3942925967512984e-4
30-39,2017,3,2017 Q3,74,675144,1.0960624696361073e-4
30-39,2017,4,2017 Q4,98,676674,1.4482601666385882e-4
30-39,2018,1,2018 Q1,89,676665,1.3152741755521565e-4
30-39,2018,2,2018 Q2,116,677753,1.7115379791753042e-4
30-39,2018,3,2018 Q3,88,677919,1.2980901848155902e-4
30-39,2018,4,2018 Q4,110,679984,1.6176851220028705e-4
30-39,2019,1,2019 Q1,87,681161,1.27723108046409e-4
30-39,2019,2,2019 Q2,88,682651,1.2890920836562168e-4
30-39,2019,3,2019 Q3,104,684248,1.5199167553284773e-4
30-39,2019,4,2019 Q4,84,686349,1.2238671579619116e-4
30-39,2020,1,2020 Q1,85,686808,1.2376093464257841e-4
30-39,2020,2,2020 Q2,90,688522,1.3071477745082945e-4
30-39,2020,3,2020 Q3,97,689827,1.406149657812756e-4
30-39,2020,4,2020 Q4,102,693425,1.4709593683527418e-4
30-39,2021,1,2021 Q1,95,696679,1.363612223132892e-4
30-39,2021,2,2021 Q2,87,700370,1.242200551137256e-4
30-39,2021,3,2021 Q3,77,704652,1.0927379756248475e-4
30-39,2021,4,2021 Q4,82,709011,1.1565405896382426e-4
30-39,2022,1,2022 Q1,98,713770,1.3729912997183967e-4
30-39,2022,2,2022 Q2,90,719262,1.2512825646287444e-4
30-39,2022,3,2022 Q3,90,728950,1.2346525824816516e-4
40-49,2008,1,2008 Q1,419,808204,5.184334648182885e-4
40-49,2008,2,2008 Q2,427,809550,5.27453523562473e-4
40-49,2008,3,2008 Q3,416,810963,5.129703821259416e-4
40-49,2008,4,2008 Q4,405,812974,4.981709132149368e-4
40-49,2009,1,2009 Q1,420,813127,5.165244789559319e-4
40-49,2009,2,2009 Q2,390,813196,4.7958917653308675e-4
40-49,2009,3,2009 Q3,380,814065,4.6679319218981285e-4
40-49,2009,4,2009 Q4,380,814605,4.664837559307885e-4
40-49,2010,1,2010 Q1,426,814408,5.230793410673766e-4
40-49,2010,2,2010 Q2,387,813563,4.756853495058158e-4
40-49,2010,3,2010 Q3,374,813591,4.596904341370541e-4
40-49,2010,4,2010 Q4,383,813602,4.707461387754701e-4
40-49,2011,1,2011 Q1,384,813210,4.7220275205666436e-4
40-49,2011,2,2011 Q2,384,812995,4.7232762809119367e-4
40-49,2011,3,2011 Q3,341,814057,4.188895863557466e-4
40-49,2011,4,2011 Q4,386,815026,4.7360452304589054e-4
40-49,2012,1,2012 Q1,368,814775,4.5165843330980944e-4
40-49,2012,2,2012 Q2,350,815041,4.294262497224066e-4
40-49,2012,3,2012 Q3,339,816250,4.1531393568147013e-4
40-49,2012,4,2012 Q4,348,816441,4.262402304636832e-4
40-49,2013,1,2013 Q1,344,815894,4.216233971569836e-4
40-49,2013,2,2013 Q2,328,814824,4.0254091681148324e-4
40-49,2013,3,2013 Q3,301,813335,3.700812088499819e-4
40-49,2013,4,2013 Q4,344,811997,4.236468853948968e-4
40-49,2014,1,2014 Q1,304,809755,3.754221956023736e-4
40-49,2014,2,2014 Q2,325,808119,4.021684925116227e-4
40-49,2014,3,2014 Q3,325,806882,4.027850416789568e-4
40-49,2014,4,2014 Q4,319,805559,3.959983067658607e-4
40-49,2015,1,2015 Q1,312,803208,3.88442346191771e-4
40-49,2015,2,2015 Q2,308,802014,3.840331964279925e-4
40-49,2015,3,2015 Q3,305,801014,3.807673773492099e-4
40-49,2015,4,2015 Q4,301,799664,3.7640809139838734e-4
40-49,2016,1,2016 Q1,321,797159,4.026800174118338e-4
40-49,2016,2,2016 Q2,269,794246,3.3868599904815386e-4
40-49,2016,3,2016 Q3,292,791033,3.6913757074610035e-4
40-49,2016,4,2016 Q4,281,787239,3.569436981653602e-4
40-49,2017,1,2017 Q1,269,781712,3.441165032646294e-4
40-49,2017,2,2017 Q2,279,778186,3.5852611072417133e-4
40-49,2017,3,2017 Q3,261,774869,3.368311288746872e-4
40-49,2017,4,2017 Q4,272,772328,3.521819744978817e-4
40-49,2018,1,2018 Q1,272,769344,3.535479577406206e-4
40-49,2018,2,2018 Q2,254,767005,3.3115820626984177e-4
40-49,2018,3,2018 Q3,244,765756,3.186393577066324e-4
40-49,2018,4,2018 Q4,276,765032,3.607692227253239e-4
40-49,2019,1,2019 Q1,265,762648,3.474735395621571e-4
40-49,2019,2,2019 Q2,222,760860,2.917750966012144e-4
40-49,2019,3,2019 Q3,227,759836,2.987486773461642e-4
40-49,2019,4,2019 Q4,239,758536,3.150806290011285e-4
40-49,2020,1,2020 Q1,254,756048,3.359575053435761e-4
40-49,2020,2,2020 Q2,245,754721,3.246232713810799e-4
40-49,2020,3,2020 Q3,204,752563,2.7107365097672883e-4
40-49,2020,4,2020 Q4,256,751291,3.4074679451770353e-4
40-49,2021,1,2021 Q1,221,748824,2.9512942961229874e-4
40-49,2021,2,2021 Q2,248,745729,3.325604877911413e-4
40-49,2021,3,2021 Q3,252,742459,3.394126813736516e-4
40-49,2021,4,2021 Q4,247,739816,3.3386679931226144e-4
40-49,2022,1,2022 Q1,268,736251,3.640062967656411e-4
40-49,2022,2,2022 Q2,235,733158,3.205311815461333e-4
40-49,2022,3,2022 Q3,222,731896,3.033217834227814e-4
50-59,2008,1,2008 Q1,1044,717993,0.0014540531732203518
50-59,2008,2,2008 Q2,958,716524,0.0013370103443848358
50-59,2008,3,2008 Q3,979,715949,0.0013674158354854886
50-59,2008,4,2008 Q4,1042,714619,0.0014581196413753343
50-59,2009,1,2009 Q1,1084,714629,0.0015168709918013403
50-59,2009,2,2009 Q2,968,714343,0.0013550913216760015
50-59,2009,3,2009 Q3,957,713936,0.0013404562873983103
50-59,2009,4,2009 Q4,1029,714209,0.0014407547370587602
50-59,2010,1,2010 Q1,1002,714301,0.0014027699807224125
50-59,2010,2,2010 Q2,1022,714204,0.0014309637022475372
50-59,2010,3,2010 Q3,1002,714595,0.0014021928504957353
50-59,2010,4,2010 Q4,1004,715820,0.001402587242602889
50-59,2011,1,2011 Q1,1029,716768,0.0014356109647752132
50-59,2011,2,2011 Q2,881,717037,0.001228667418836127
50-59,2011,3,2011 Q3,892,717971,0.0012423900129670976
50-59,2011,4,2011 Q4,898,720098,0.00124705248452294
50-59,2012,1,2012 Q1,1010,721520,0.0013998225967402152
50-59,2012,2,2012 Q2,914,723085,0.0012640284337249424
50-59,2012,3,2012 Q3,885,724935,0.001220799106126756
50-59,2012,4,2012 Q4,864,727101,0.0011882805827526024
50-59,2013,1,2013 Q1,1011,727751,0.0013892114198400278
50-59,2013,2,2013 Q2,894,729135,0.0012261103910798411
50-59,2013,3,2013 Q3,842,731646,0.0011508297728682997
50-59,2013,4,2013 Q4,830,734501,0.0011300188835685725
50-59,2014,1,2014 Q1,885,737542,0.0011999316649085746
50-59,2014,2,2014 Q2,839,740755,0.0011326281969072096
50-59,2014,3,2014 Q3,794,743681,0.0010676620755404535
50-59,2014,4,2014 Q4,858,747344,0.0011480656832730308
50-59,2015,1,2015 Q1,901,750878,0.00119992861689915
50-59,2015,2,2015 Q2,791,753894,0.001049219120990484
50-59,2015,3,2015 Q3,851,757508,0.0011234204787276174
50-59,2015,4,2015 Q4,843,761645,0.0011068148546895208
50-59,2016,1,2016 Q1,909,765248,0.0011878502132641967
50-59,2016,2,2016 Q2,777,768811,0.001010651512530388
50-59,2016,3,2016 Q3,819,773426,0.0010589248357308909
50-59,2016,4,2016 Q4,874,777729,0.0011237847630729985
50-59,2017,1,2017 Q1,848,781703,0.0010848109831995017
50-59,2017,2,2017 Q2,801,785081,0.0010202768886267786
50-59,2017,3,2017 Q3,778,788224,9.870290678791816e-4
50-59,2017,4,2017 Q4,782,790910,9.887344957074762e-4
50-59,2018,1,2018 Q1,894,792624,0.0011278992309089809
50-59,2018,2,2018 Q2,791,793961,9.96270597674193e-4
50-59,2018,3,2018 Q3,804,795702,0.001010428527262719
50-59,2018,4,2018 Q4,781,797531,9.792722790712837e-4
50-59,2019,1,2019 Q1,824,797775,0.001032872677133277
50-59,2019,2,2019 Q2,745,798321,9.332085714894135e-4
50-59,2019,3,2019 Q3,775,799658,9.691643177458364e-4
50-59,2019,4,2019 Q4,712,800345,8.896163529477913e-4
50-59,2020,1,2020 Q1,768,800444,9.594674955399754e-4
50-59,2020,2,2020 Q2,716,800074,8.949172201571354e-4
50-59,2020,3,2020 Q3,737,800571,9.205929267984976e-4
50-59,2020,4,2020 Q4,725,801013,9.051039121712132e-4
50-59,2021,1,2021 Q1,742,801166,9.261501361765227e-4
50-59,2021,2,2021 Q2,733,801748,9.142523585964667e-4
50-59,2021,3,2021 Q3,714,803532,8.885769328415048e-4
50-59,2021,4,2021 Q4,779,805087,9.675972907275859e-4
50-59,2022,1,2022 Q1,783,805849,9.716460527964916e-4
50-59,2022,2,2022 Q2,696,806995,8.624588752098836e-4
50-59,2022,3,2022 Q3,730,810469,9.007130439288856e-4
60-69,2008,1,2008 Q1,2196,640769,0.0034271320866021923
60-69,2008,2,2008 Q2,2136,645745,0.0033078072613802662
60-69,2008,3,2008 Q3,1960,650356,0.003013734016446377
60-69,2008,4,2008 Q4,2190,654745,0.003344813629733713
60-69,2009,1,2009 Q1,2234,658130,0.003394466138908726
60-69,2009,2,2009 Q2,2081,662068,0.003143181667139931
60-69,2009,3,2009 Q3,2040,665805,0.003063960168517809
60-69,2009,4,2009 Q4,2196,668796,0.0032835124611989308
60-69,2010,1,2010 Q1,2145,671498,0.0031943505416248447
60-69,2010,2,2010 Q2,2116,674527,0.0031370130476615467
60-69,2010,3,2010 Q3,2030,678059,0.0029938397691056384
60-69,2010,4,2010 Q4,2118,680369,0.0031130166130438042
60-69,2011,1,2011 Q1,2166,682725,0.0031725804679775898
60-69,2011,2,2011 Q2,1973,685802,0.0028769236601818016
60-69,2011,3,2011 Q3,1968,688189,0.0028596795357089403
60-69,2011,4,2011 Q4,2063,689090,0.0029938034219042504
60-69,2012,1,2012 Q1,2128,690718,0.003080852098830492
60-69,2012,2,2012 Q2,2053,692211,0.0029658586760395312
60-69,2012,3,2012 Q3,1930,692881,0.00278547109821167
60-69,2012,4,2012 Q4,2127,692653,0.003070801685692547
60-69,2013,1,2013 Q1,2187,693516,0.0031534960981433736
60-69,2013,2,2013 Q2,2055,694690,0.0029581539967467505
60-69,2013,3,2013 Q3,1898,695256,0.0027299296949612807
60-69,2013,4,2013 Q4,1949,694992,0.002804348827036858
60-69,2014,1,2014 Q1,2109,694294,0.0030376180695785935
60-69,2014,2,2014 Q2,2042,693007,0.002946579183182854
60-69,2014,3,2014 Q3,1914,692070,0.0027656161948935803
60-69,2014,4,2014 Q4,2009,690391,0.0029099452339326555
60-69,2015,1,2015 Q1,2098,688697,0.003046332421950437
60-69,2015,2,2015 Q2,1902,686672,0.0027698813989794255
60-69,2015,3,2015 Q3,1852,685151,0.002703053779385858
60-69,2015,4,2015 Q4,1950,683152,0.002854416001124201
60-69,2016,1,2016 Q1,2055,681207,0.003016704173621234
60-69,2016,2,2016 Q2,1875,678378,0.002763945764750626
60-69,2016,3,2016 Q3,1805,675441,0.0026723281530141047
60-69,2016,4,2016 Q4,1943,673704,0.0028840559058577655
60-69,2017,1,2017 Q1,1908,672152,0.0028386436401290184
60-69,2017,2,2017 Q2,1740,669377,0.0025994320091667325
60-69,2017,3,2017 Q3,1661,667141,0.0024897285581308897
60-69,2017,4,2017 Q4,1831,665783,0.0027501453176185034
60-69,2018,1,2018 Q1,2003,665223,0.0030110203645995403
60-69,2018,2,2018 Q2,1775,664152,0.0026725809754393572
60-69,2018,3,2018 Q3,1795,663869,0.0027038466926456875
60-69,2018,4,2018 Q4,1722,662657,0.0025986294568683347
60-69,2019,1,2019 Q1,1977,662929,0.0029822198153950123
60-69,2019,2,2019 Q2,1784,662905,0.0026911850114269766
60-69,2019,3,2019 Q3,1675,662749,0.002527351983933586
60-69,2019,4,2019 Q4,1915,663426,0.002886531429277719
60-69,2020,1,2020 Q1,1850,663646,0.0027876307549506815
60-69,2020,2,2020 Q2,1707,663751,0.002571747537856817
60-69,2020,3,2020 Q3,1679,664621,0.0025262518036595293
60-69,2020,4,2020 Q4,1800,666262,0.002701639895416518
60-69,2021,1,2021 Q1,1819,667583,0.0027247548244937335
60-69,2021,2,2021 Q2,1641,668346,0.0024553150613604332
60-69,2021,3,2021 Q3,1708,669866,0.0025497636840800995
60-69,2021,4,2021 Q4,1915,672234,0.0028487104192885214
60-69,2022,1,2022 Q1,1910,673950,0.002834038133392685
60-69,2022,2,2022 Q2,1777,675972,0.002628807110353683
60-69,2022,3,2022 Q3,1691,679831,0.0024873828936897552
70-79,2008,1,2008 Q1,3402,361523,0.009410189669813539
70-79,2008,2,2008 Q2,3076,363194,0.008469302906986349
70-79,2008,3,2008 Q3,2976,365495,0.008142382248731173
70-79,2008,4,2008 Q4,3209,367236,0.008738250062630026
70-79,2009,1,2009 Q1,3558,368572,0.00965347340546759
70-79,2009,2,2009 Q2,2992,369853,0.008089700502632127
70-79,2009,3,2009 Q3,2935,372522,0.007878729309946795
70-79,2009,4,2009 Q4,3190,374657,0.008514454554432454
70-79,2010,1,2010 Q1,3357,376508,0.008916145208069949
70-79,2010,2,2010 Q2,3115,379383,0.008210700005008132
70-79,2010,3,2010 Q3,2978,381913,0.007797587408650661
70-79,2010,4,2010 Q4,3208,384743,0.00833803344050444
70-79,2011,1,2011 Q1,3157,386479,0.008168619769767568
70-79,2011,2,2011 Q2,2989,388839,0.007686986130506456
70-79,2011,3,2011 Q3,2942,392055,0.007504049176773667
70-79,2011,4,2011 Q4,3223,395228,0.008154786604187962
70-79,2012,1,2012 Q1,3119,397856,0.007839519826268801
70-79,2012,2,2012 Q2,3089,401255,0.007698346438050617
70-79,2012,3,2012 Q3,2877,406090,0.0070846364106478855
70-79,2012,4,2012 Q4,3176,411071,0.007726159227967918
70-79,2013,1,2013 Q1,3406,415083,0.00820558779810303
