Date;Age;Sex;Deaths
2007-01-09;70-79;Male;20
2007-01-09;80-89;Female;27
2007-01-09;80-89;Male;27
2007-01-09;90+;Female;20
2007-01-09;90+;Male;5
2007-01-10;0-9;Female;0
2007-01-10;0-9;Male;0
2007-01-10;10-19;Female;0
2007-01-10;10-19;Male;0
2007-01-10;20-29;Female;0
2007-01-10;20-29;Male;1
2007-01-10;30-39;Female;1
2007-01-10;30-39;Male;1
2007-01-10;40-49;Female;1
2007-01-10;40-49;Male;1
2007-01-10;50-59;Female;2
2007-01-10;50-59;Male;11
2007-01-10;60-69;Female;10
2007-01-10;60-69;Male;15
2007-01-10;70-79;Female;15
2007-01-10;70-79;Male;20
2007-01-10;80-89;Female;27
2007-01-10;80-89;Male;27
2007-01-10;90+;Female;30
2007-01-10;90+;Male;7
2007-01-11;0-9;Female;1
2007-01-11;0-9;Male;0
2007-01-11;10-19;Female;0
2007-01-11;10-19;Male;0
2007-01-11;20-29;Female;0
2007-01-11;20-29;Male;1
2007-01-11;30-39;Female;0
2007-01-11;30-39;Male;0
2007-01-11;40-49;Female;2
2007-01-11;40-49;Male;2
2007-01-11;50-59;Female;5
2007-01-11;50-59;Male;3
2007-01-11;60-69;Female;7
2007-01-11;60-69;Male;18
2007-01-11;70-79;Female;26
2007-01-11;70-79;Male;19
2007-01-11;80-89;Female;42
2007-01-11;80-89;Male;17
2007-01-11;90+;Female;23
2007-01-11;90+;Male;4
2007-01-12;0-9;Female;0
2007-01-12;0-9;Male;0
2007-01-12;10-19;Female;0
2007-01-12;10-19;Male;0
2007-01-12;20-29;Female;0
2007-01-12;20-29;Male;1
2007-01-12;30-39;Female;1
2007-01-12;30-39;Male;0
2007-01-12;40-49;Female;0
2007-01-12;40-49;Male;3
2007-01-12;50-59;Female;5
2007-01-12;50-59;Male;6
2007-01-12;60-69;Female;11
2007-01-12;60-69;Male;23
2007-01-12;70-79;Female;19
2007-01-12;70-79;Male;25
2007-01-12;80-89;Female;41
2007-01-12;80-89;Male;20
2007-01-12;90+;Female;24
2007-01-12;90+;Male;9
2007-01-13;0-9;Female;0
2007-01-13;0-9;Male;1
2007-01-13;10-19;Female;0
2007-01-13;10-19;Male;1
2007-01-13;20-29;Female;1
2007-01-13;20-29;Male;0
2007-01-13;30-39;Female;0
